barrio,periodo,ambientes,superficie_total_m2,superficie_promedio_m2,cantidad_deptos_estimada,sueldo_basico_admin_a,sueldo_interpolado
Agronomia,2013-07,1,41.0,33.31707317073171,1.2306002928257687,,
Agronomia,2013-08,1,40.0,32.49512195121951,1.23095398934174,,
Agronomia,2013-09,1,0.0,32.23866348448687,0.0,,
Agronomia,2013-10,1,101.0,32.169172932330824,3.1396517471076315,,
Agronomia,2013-11,1,58.0,32.204597701149424,1.8009850810193448,,
Agronomia,2013-12,1,167.0,32.69703872437358,5.107496168315452,,
Agronomia,2014-01,1,28.0,32.771186440677965,0.8544091026635635,,
Agronomia,2014-02,1,0.0,32.69133192389006,0.0,,
Agronomia,2014-03,1,22.0,32.782296650717704,0.6710939210391885,,
Agronomia,2014-04,1,22.0,32.76923076923077,0.6713615023474179,,
Agronomia,2014-05,1,62.0,32.93958333333333,1.8822338877996332,,
Agronomia,2014-06,1,32.0,32.98540145985402,0.9701261341004647,,
Agronomia,2014-07,1,32.0,32.34764826175869,0.9892527500316095,,
Agronomia,2014-08,1,32.0,31.997624703087887,1.0000742335387127,,
Agronomia,2014-09,1,0.0,32.94344473007712,0.0,,
Agronomia,2014-10,1,0.0,32.651709401709404,0.0,,
Agronomia,2014-11,1,53.0,32.11538461538461,1.6502994011976049,,
Agronomia,2014-12,1,63.0,32.41839762611276,1.9433409610983983,,
Agronomia,2015-01,1,30.0,31.52478134110787,0.9516322944603718,,
Agronomia,2015-02,1,44.0,31.681318681318682,1.3888310787374263,,
Agronomia,2015-03,1,53.0,31.792349726775956,1.667067720866277,,
Agronomia,2015-04,1,22.0,31.835526315789473,0.6910518702211201,,
Agronomia,2015-05,1,0.0,32.80238726790451,0.0,,
Agronomia,2015-06,1,146.0,33.44423480083857,4.365475869591109,,
Agronomia,2015-07,1,107.0,33.457220779220776,3.1981138154324618,,
Agronomia,2015-08,1,36.0,34.03415274463008,1.0577610164154916,,
Agronomia,2015-09,1,40.0,33.013629032258066,1.2116208115416653,,
Agronomia,2015-10,1,0.0,35.6400350877193,0.0,,
Agronomia,2015-11,1,32.0,36.308394160583944,0.8813388953108509,,
Agronomia,2015-12,1,67.0,35.29271111111111,1.8984089884470952,,
Agronomia,2016-01,1,30.0,33.747644628099174,0.8889509277047801,,
Agronomia,2016-02,1,0.0,32.53603524229075,0.0,,
Agronomia,2016-03,1,0.0,33.70501805054152,0.0,,
Agronomia,2016-04,1,28.0,32.73457446808511,0.8553647162054565,,
Agronomia,2016-05,1,45.0,33.422105263157896,1.3464142861642152,,
Agronomia,2016-06,1,97.0,33.068000000000005,2.933349461715253,,
Agronomia,2016-07,1,0.0,34.079359223300976,0.0,,
Agronomia,2016-08,1,0.0,33.62778169014084,0.0,,
Agronomia,2016-09,1,0.0,33.35490774907749,0.0,,
Agronomia,2016-10,1,55.0,33.777414965986395,1.6283069635549254,,
Agronomia,2016-11,1,38.0,33.39454545454546,1.137910382751674,,
Agronomia,2016-12,1,36.0,33.7798201438849,1.0657250348479732,,
Agronomia,2017-01,1,40.0,33.54336236933798,1.1924862975741526,,
Agronomia,2017-02,1,0.0,34.062731481481485,0.0,,
Agronomia,2017-03,1,109.0,33.13587606837607,3.28948598718434,,
Agronomia,2017-04,1,25.0,33.95416826003824,0.7362866263881749,,
Agronomia,2017-05,1,52.0,33.42979999999999,1.5554983876660946,,
Agronomia,2017-06,1,40.0,34.727739726027394,1.1518169715497264,,
Agronomia,2017-07,1,38.0,32.91079722703639,1.1546362653525393,,
Agronomia,2017-08,1,23.0,32.34042158516019,0.7111842973176898,,
Agronomia,2017-09,1,0.0,32.334530612244905,0.0,,
Agronomia,2017-10,1,0.0,32.59503512880562,0.0,,
Agronomia,2017-11,1,0.0,32.54566744730679,0.0,,
Agronomia,2017-12,1,0.0,32.55721393034827,0.0,,
Agronomia,2018-01,1,0.0,32.649344660194174,0.0,18582.2,False
Agronomia,2018-02,1,0.0,33.36016304347826,0.0,18886.82,False
Agronomia,2018-03,1,0.0,33.25785894206549,0.0,19191.44,False
Agronomia,2018-04,1,0.0,32.79339325842696,0.0,21110.58,False
Agronomia,2018-05,1,0.0,32.92630102040817,0.0,21110.58,False
Agronomia,2018-06,1,0.0,32.23633569739953,0.0,21110.58,False
Agronomia,2018-07,1,0.0,33.02055023923445,0.0,21110.58,False
Agronomia,2018-08,1,0.0,32.991926829268294,0.0,22070.15,False
Agronomia,2018-09,1,0.0,32.314521739130434,0.0,23029.72,True
Agronomia,2018-10,1,0.0,32.88463157894737,0.0,23989.3,False
Agronomia,2018-11,1,0.0,32.21218683651804,0.0,24437.1,True
Agronomia,2018-12,1,0.0,32.539060240963856,0.0,24884.9,True
Agronomia,2019-01,1,0.0,33.29235807860262,0.0,25332.7,False
Agronomia,2019-02,1,0.0,32.352409638554214,0.0,26676.1,False
Agronomia,2019-03,1,0.0,32.62464824120603,0.0,27827.59,False
Agronomia,2019-04,1,0.0,32.72716312056737,0.0,27827.59,True
Agronomia,2019-05,1,119.0,32.2749604743083,3.6870688066288126,27827.59,False
Agronomia,2019-06,1,35.0,32.0999801192843,1.0903433544176402,27827.59,False
Agronomia,2019-07,1,0.0,32.50170863309353,0.0,27827.59,False
Agronomia,2019-08,1,0.0,32.79593971631206,0.0,27827.59,False
Agronomia,2019-09,1,70.0,32.22765734265735,2.1720474205038234,31802.19,False
Agronomia,2019-10,1,0.0,32.40849572649573,0.0,31802.19,False
Agronomia,2019-11,1,0.0,32.66412313432836,0.0,32637.02,True
Agronomia,2019-12,1,40.0,32.01283095723014,1.2494989916212313,33471.84,True
Agronomia,2020-01,1,0.0,32.62126159554731,0.0,34306.67,False
Agronomia,2020-02,1,0.0,33.15922330097087,0.0,34306.67,False
Agronomia,2020-03,1,0.0,33.10622395833334,0.0,35558.91,False
Agronomia,2020-04,1,0.0,34.21058139534884,0.0,42466.32,False
Agronomia,2020-05,1,0.0,33.27063524590164,0.0,42466.32,False
Agronomia,2020-06,1,0.0,32.09757303370787,0.0,42466.32,False
Agronomia,2020-07,1,35.0,32.8346611570248,1.0659467394111342,42466.32,False
Agronomia,2020-08,1,0.0,32.230916666666666,0.0,42466.32,False
Agronomia,2020-09,1,35.0,31.766074918566773,1.1018043648679758,42466.32,False
Agronomia,2020-10,1,0.0,31.874242424242425,0.0,42466.32,False
Agronomia,2020-11,1,35.0,31.71124242424243,1.1037095151227314,42466.32,True
Agronomia,2020-12,1,0.0,31.067218543046355,0.0,42466.32,True
Agronomia,2021-01,1,38.0,31.294205052005942,1.2142823227766963,42466.32,False
Agronomia,2021-02,1,30.0,31.081285444234403,0.9652110448850505,42466.32,False
Agronomia,2021-03,1,0.0,31.528301886792452,0.0,42466.32,False
Agronomia,2021-04,1,0.0,31.42777372262774,0.0,54934.24,False
Agronomia,2021-05,1,0.0,30.933825757575757,0.0,57434.24,False
Agronomia,2021-06,1,0.0,31.43486445783132,0.0,57434.24,False
Agronomia,2021-07,1,92.0,31.422535211267604,2.927835051546392,57434.24,False
Agronomia,2021-08,1,27.0,31.605388272583202,0.8542847114275686,57434.24,False
Agronomia,2021-09,1,38.0,32.02453987730061,1.1865900383141763,57434.24,False
Agronomia,2021-10,1,0.0,32.111111111111114,0.0,57434.24,False
Agronomia,2021-11,1,25.0,31.64804469273743,0.7899382171226832,57434.24,False
Agronomia,2021-12,1,30.0,31.94848837209302,0.9390115629447112,57434.24,False
Agronomia,2022-01,1,0.0,31.47826086956522,0.0,71792.8,False
Agronomia,2022-02,1,0.0,31.564098360655734,0.0,71792.8,False
Agronomia,2022-03,1,0.0,31.285594405594406,0.0,71792.8,False
Agronomia,2022-04,1,0.0,32.45741935483871,0.0,71792.8,False
Agronomia,2022-05,1,98.0,32.39616438356165,3.0250494731322832,88448.7,False
Agronomia,2022-06,1,0.0,32.75,0.0,88448.7,False
Agronomia,2022-07,1,37.0,33.255172413793105,1.1126088759850683,88448.7,False
Agronomia,2022-08,1,30.0,33.20867256637168,0.9033784756087812,88448.7,False
Agronomia,2022-09,1,58.0,31.994505494505493,1.8128112656706166,88448.7,False
Agronomia,2022-10,1,30.0,32.383399209486164,0.9264005858659832,88448.7,False
Agronomia,2022-11,1,27.0,32.68968,0.8259487397857672,88448.7,False
Agronomia,2022-12,1,0.0,31.689236641221374,0.0,88448.7,False
Agronomia,2023-01,1,0.0,32.44198113207547,0.0,97618.62,True
Agronomia,2023-02,1,30.0,30.905555555555555,0.9706992629875967,106788.53,False
Agronomia,2023-03,1,0.0,32.17857142857143,0.0,122570.66,False
Agronomia,2023-04,1,29.0,31.6984126984127,0.914872308462694,186585.47,False
Agronomia,2023-05,1,0.0,31.265176470588234,0.0,197973.32,False
Agronomia,2023-06,1,0.0,32.66990291262136,0.0,209361.16,False
Agronomia,2023-07,1,0.0,32.08988764044944,0.0,218782.41,False
Agronomia,2023-08,1,0.0,32.850746268656714,0.0,218782.41,False
Agronomia,2023-09,1,0.0,32.308653846153845,0.0,218782.41,False
Agronomia,2023-10,1,0.0,33.578125,0.0,218782.41,False
Agronomia,2023-11,1,0.0,32.982142857142854,0.0,292129.21,False
Agronomia,2023-12,1,0.0,32.71875,0.0,292129.21,False
Agronomia,2024-01,1,64.0,31.813430493273543,2.011728977594284,447483.51,False
Agronomia,2024-02,1,64.0,31.730477326968973,2.016988252036281,447483.51,False
Agronomia,2024-03,1,70.0,32.39538738738739,2.1608014487659237,447483.51,False
Agronomia,2024-04,1,101.0,31.812093373493976,3.1748932336579205,447483.51,False
Agronomia,2024-05,1,30.0,32.34452411994785,0.9275140326302742,447483.51,False
Agronomia,2024-06,1,0.0,31.582869822485204,0.0,447483.51,False
Agronomia,2024-07,1,37.0,31.77486274509804,1.1644424807376406,447483.51,False
Agronomia,2024-08,1,71.0,31.734954007884365,2.23728069630605,447483.51,False
Agronomia,2024-09,1,88.0,31.9030428769018,2.7583575754685485,503568.1,False
Agronomia,2024-10,1,20.0,31.673477246207703,0.6314431423027486,559652.69,False
Agronomia,2024-11,1,70.0,31.89198606271777,2.1949087730798644,615737.3,False
Agronomia,2024-12,1,25.0,31.617557339449544,0.790699918137169,637436.95,False
Agronomia,2025-01,1,0.0,31.520013054830294,0.0,708395.58,False
Agronomia,2025-02,1,63.0,31.34080443828015,2.010158996526931,766990.75,False
Agronomia,2025-03,1,62.0,31.762287671232855,1.952000455438022,818152.58,False
Agronomia,2025-04,1,30.0,31.58971848225215,0.9496760794767674,866041.79,False
Agronomia,2025-05,1,145.75,32.028275862068966,4.550666436984561,912580.25,False
Agronomia,2025-06,1,121.93,31.629018143009606,3.855004270088226,963993.01,False
Agronomia,2025-07,1,93.46000000000001,31.780466101694913,2.940800166395785,1050428.6,False
Agronomia,2025-08,1,60.35,31.449150657229524,1.918970742891168,1030637.0,False
Agronomia,2025-09,1,30.0,31.872512462612164,0.9412499260982735,1040741.2,False
Agronomia,2025-10,1,73.0,32.01463114754099,2.2802074358931685,1050845.4,False
Agronomia,2025-11,1,74.0,31.87033185840709,2.3219086744614335,1060949.6,False
Agronomia,2025-12,1,96.0,31.6885052143685,3.029489695098359,1071053.8,False
Agronomia,2026-01,1,64.0,31.13389027431424,2.0556377451102095,1071053.8,False
Agronomia,2026-02,1,39.0,31.523901515151525,1.237156510632264,1071053.8,False
Agronomia,2026-03,1,64.0,31.46441008018328,2.0340441736204067,1071053.8,False
Agronomia,2026-04,1,58.91,32.33233840304183,1.8220148281776531,1171053.8,False
Almagro,2013-07,1,1333.0,33.31707317073171,40.0095168374817,,
Almagro,2013-08,1,808.0,32.49512195121951,24.865270584703147,,
Almagro,2013-09,1,1063.0,32.23866348448687,32.972830915013326,,
Almagro,2013-10,1,1220.0,32.169172932330824,37.92450625219119,,
