anio,mes,fecha,trimestre,basico,interpolado,archivo
2018,1,2018-01-01,Q1,18582.2,False,"01.ESCALA SALARIAL PARA ENERO, FEBRERO Y MARZO DE 2018.pdf"
2018,2,2018-02-01,Q1,18886.82,False,"01.ESCALA SALARIAL PARA ENERO, FEBRERO Y MARZO DE 2018.pdf"
2018,3,2018-03-01,Q1,19191.44,False,"01.ESCALA SALARIAL PARA ENERO, FEBRERO Y MARZO DE 2018.pdf"
2018,4,2018-04-01,Q2,21110.58,False,Escala ABRIL a JULIO 2018-47.jpg
2018,5,2018-05-01,Q2,21110.58,False,Escala ABRIL a JULIO 2018-47.jpg
2018,6,2018-06-01,Q2,21110.58,False,Escala ABRIL a JULIO 2018-47.jpg
2018,7,2018-07-01,Q3,21110.58,False,Escala ABRIL a JULIO 2018-47.jpg
2018,8,2018-08-01,Q3,22070.15,False,ESC. SALARIAL A PARTIR DE AGOSTO DE 2018.xls
2018,9,2018-09-01,Q3,23029.72,True,(interpolado)
2018,10,2018-10-01,Q4,23989.3,False,ESC. SALARIAL A PARTIR DE OCTUBRE  DE 2018.xls
2018,11,2018-11-01,Q4,24437.1,True,(interpolado)
2018,12,2018-12-01,Q4,24884.9,True,(interpolado)
2019,1,2019-01-01,Q1,25332.7,False,"ESC. SALARIAL SALARIAL ENERO, FEBRERO Y MARZO 2019 web.xls"
2019,2,2019-02-01,Q1,26676.1,False,"ESC. SALARIAL SALARIAL ENERO, FEBRERO Y MARZO 2019 web.xls"
2019,3,2019-03-01,Q1,27827.59,False,"ESC. SALARIAL SALARIAL ENERO, FEBRERO Y MARZO 2019 web.xls"
2019,4,2019-04-01,Q2,27827.59,True,(interpolado)
2019,5,2019-05-01,Q2,27827.59,False,ESC. SALARIAL  SALARIAL MAYO A AGOSTO 2019.xls
2019,6,2019-06-01,Q2,27827.59,False,ESC. SALARIAL  SALARIAL MAYO A AGOSTO 2019.xls
2019,7,2019-07-01,Q3,27827.59,False,ESC. SALARIAL  SALARIAL MAYO A AGOSTO 2019.xls
2019,8,2019-08-01,Q3,27827.59,False,ESC. SALARIAL  SALARIAL MAYO A AGOSTO 2019.xls
2019,9,2019-09-01,Q3,31802.19,False,ESC  SALARIAL A PARTIR DE  SEPTIEMBRE A OCTUBRE 2019.xls
2019,10,2019-10-01,Q4,31802.19,False,ESC  SALARIAL A PARTIR DE  SEPTIEMBRE A OCTUBRE 2019.xls
2019,11,2019-11-01,Q4,32637.02,True,(interpolado)
2019,12,2019-12-01,Q4,33471.84,True,(interpolado)
2020,1,2020-01-01,Q1,34306.67,False,ESC  SALARIAL A PARTIR DE ENERO A  FEBRERO 2020.xls
2020,2,2020-02-01,Q1,34306.67,False,ESC  SALARIAL A PARTIR DE ENERO A  FEBRERO 2020.xls
2020,3,2020-03-01,Q1,35558.91,False,ESC. SALARIAL  SALARIAL MARZO 2020  SUMA EXTR.xls
2020,4,2020-04-01,Q2,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,5,2020-05-01,Q2,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,6,2020-06-01,Q2,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,7,2020-07-01,Q3,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,8,2020-08-01,Q3,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,9,2020-09-01,Q3,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,10,2020-10-01,Q4,42466.32,False,ESC  SEPTIEMBRE A MARZO 2021  CORREGIDO.xls
2020,11,2020-11-01,Q4,42466.32,True,(interpolado)
2020,12,2020-12-01,Q4,42466.32,True,(interpolado)
2021,1,2021-01-01,Q1,42466.32,False,ESC. SALARIAL  ENERO FEBRERO MARZO  2021.xls
2021,2,2021-02-01,Q1,42466.32,False,ESC. SALARIAL  ENERO FEBRERO MARZO  2021.xls
2021,3,2021-03-01,Q1,42466.32,False,ESC. SALARIAL  ENERO FEBRERO MARZO  2021.xls
2021,4,2021-04-01,Q2,54934.24,False,ESC. SALARIAL  SALARIAL ABRIL 2021 (1).xls
2021,5,2021-05-01,Q2,57434.24,False,ESC. SALARIAL  SALARIAL MAYO AGOSTO 21.xls
2021,6,2021-06-01,Q2,57434.24,False,ESC. SALARIAL  SALARIAL MAYO AGOSTO 21.xls
2021,7,2021-07-01,Q3,57434.24,False,ESC. SALARIAL  SALARIAL MAYO AGOSTO 21.xls
2021,8,2021-08-01,Q3,57434.24,False,ESC. SALARIAL  SALARIAL MAYO AGOSTO 21.xls
2021,9,2021-09-01,Q3,57434.24,False,ESCALA Agosto a Diciembre 2021.xls
2021,10,2021-10-01,Q4,57434.24,False,ESCALA Agosto a Diciembre 2021.xls
2021,11,2021-11-01,Q4,57434.24,False,ESCALA Agosto a Diciembre 2021.xls
2021,12,2021-12-01,Q4,57434.24,False,ESCALA Agosto a Diciembre 2021.xls
2022,1,2022-01-01,Q1,71792.8,False,ESCALA 2022 ENERO A MARZO 1 -CON CLAUSULA DE REVISION.xls
2022,2,2022-02-01,Q1,71792.8,False,ESCALA 2022 ENERO A MARZO 1 -CON CLAUSULA DE REVISION.xls
2022,3,2022-03-01,Q1,71792.8,False,ESCALA 2022 ENERO A MARZO 1 -CON CLAUSULA DE REVISION.xls
2022,4,2022-04-01,Q2,71792.8,False,ESCALA 2022 ENERO A MARZO 1 -CON CLAUSULA DE REVISION.xls
2022,5,2022-05-01,Q2,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,6,2022-06-01,Q2,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,7,2022-07-01,Q3,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,8,2022-08-01,Q3,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,9,2022-09-01,Q3,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,10,2022-10-01,Q4,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,11,2022-11-01,Q4,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2022,12,2022-12-01,Q4,88448.7,False,ESCALA ABRIL 2022 A ABRIL 2023 NUEVA REVISION (1).xls
2023,1,2023-01-01,Q1,97618.62,True,(interpolado)
2023,2,2023-02-01,Q1,106788.53,False,ESCALA FEBRERO 2023 A MARZO 2023 NUEVA REVISION (1) (1).xls
2023,3,2023-03-01,Q1,122570.66,False,ESCALA FEBRERO 2023 A MARZO 2023 NUEVA REVISION (1) (1).xls
2023,4,2023-04-01,Q2,186585.47,False,ESCALA ABRIL 2023 A MARZO 2024 CON EL ACUERDO (1) (1).xls
2023,5,2023-05-01,Q2,197973.32,False,ESCALA ABRIL 2023 A MARZO 2024 CON EL ACUERDO (1) (1).xls
2023,6,2023-06-01,Q2,209361.16,False,ESCALA ABRIL 2023 A MARZO 2024 CON EL ACUERDO (1) (1).xls
2023,7,2023-07-01,Q3,218782.41,False,ESCALA ABRIL 2023 A SEPTIEMBRE 2024 CON EL ACUERDO.xls
2023,8,2023-08-01,Q3,218782.41,False,ESCALA ABRIL 2023 A SEPTIEMBRE 2024 CON EL ACUERDO.xls
2023,9,2023-09-01,Q3,218782.41,False,ESCALA ABRIL 2023 A SEPTIEMBRE 2024 CON EL ACUERDO.xls
2023,10,2023-10-01,Q4,218782.41,False,ESCALA ABRIL 2023 A SEPTIEMBRE 2024 CON EL ACUERDO.xls
2023,11,2023-11-01,Q4,292129.21,False,ESCALA octubre a diciembre 2023  VALIDADA (1).xls
2023,12,2023-12-01,Q4,292129.21,False,ESCALA octubre a diciembre 2023  VALIDADA (1).xls
2024,1,2024-01-01,Q1,447483.51,False,ESCALA ENERO- FEBRERO  2024 A MARZO 2024  VALIDADA-8 (1).xls
2024,2,2024-02-01,Q1,447483.51,False,ESCALA ENERO- FEBRERO  2024 A MARZO 2024  VALIDADA-8 (1).xls
2024,3,2024-03-01,Q1,447483.51,False,ESCALA ENERO- FEBRERO  2024 A MARZO 2024  VALIDADA-8 (1).xls
2024,4,2024-04-01,Q2,447483.51,False,ESCALA MARZO- MAYO  2024  VALIDADA-9 (1).xls
2024,5,2024-05-01,Q2,447483.51,False,ESCALA MARZO- MAYO  2024  VALIDADA-9 (1).xls
2024,6,2024-06-01,Q2,447483.51,False,ESCALA SALARIAL DE JUNIO A AGOSTO 2024 VALIDADA.xlsx
2024,7,2024-07-01,Q3,447483.51,False,ESCALA SALARIAL DE JUNIO A AGOSTO 2024 VALIDADA.xlsx
2024,8,2024-08-01,Q3,447483.51,False,ESCALA SALARIAL DE JUNIO A AGOSTO 2024 VALIDADA.xlsx
2024,9,2024-09-01,Q3,503568.1,False,escala basicos set-oct-nov 2024 nueva con el aumento.xlsx
